earningId,participantId,participantIdType,participantName,partnerCountryCode,programName,transactionId,transactionCurrency,transactionDate,transactionExchangeRate,transactionAmount,transactionAmountUSD,lever,engagementName,engagementId,earningRate,quantity,earningType,earningAmount,earningAmountUSD,earningDate,calculationDate,earningExchangeRate,exchangeRateDate,claimId,paymentId,paymentStatus,paymentStatusDescription,customerId,customerName,partNumber,productName,productId,parentProductId,parentProductName,productType,invoiceNumber,subscriptionId,subscriptionStartDate,subscriptionEndDate,resellerId,resellerName,distributorId,distributorName,agreementNumber,agreementStartDate,agreementEndDate,workload,transactionType,localProviderSeller,transactionCountryCode,taxRemitted,taxRemitModel,storeFee,transactionPaymentMethod,tpan,purchaseTypeCode,purchaseOrderType,purchaseOrderCoverageStartDate,purchaseOrderCoverageEndDate,externalReferenceId,externalReferenceIdLabel,licensingProgramName,taxCountry,taxState,taxCity,taxZipCode,programCode,earningAmountInLastPaymentCurrency,lastPaymentCurrency,assetId,orderId,lineItemId,resellerCountry,customerCountry,customerEmail,skuId,customerTenantId,invoiceDate,instantRebateAmount,reasonCode,estimatedPaymentMonth,bucketSize,milestone,billingGroupId
e90b831d-8f63-43aa-88f9-4ed7f76188db,69394160,SELLER,SNDBX,SE,Minecraft,e90b831d-8f63-43aa-88f9-4ed7f76188db,USD,2022-01-14T07:49:19.000Z,1,3.75,3.75,Minecraft,,,100,1,Earning-Sell,3.75,3.75,2022-01-14T07:49:19.000Z,2022-01-14T07:49:19.000Z,1,2022-01-14T07:49:19.000Z,,6800065331,Sent,Payment successfully sent to your bank,,,,AETHER DIMENSION,BEDF5379-7C46-4F26-8428-475179761D46,BEDF5379-7C46-4F26-8428-475179761D46,AETHER DIMENSION,Add-on,,,,,,,,,,,,,Purchase,Microsoft,US,0,,0,,,,,,,,TransactionId,,,,,,beb222aa-cf6d-4599-b6ec-8fbc1eaa3d6c,33.9054375,SEK,,,,,,,,,,0,,Not applicable,,,
a21f4e49-6e36-4621-9f76-361ef2e24c6a,69394160,SELLER,SNDBX,SE,Minecraft,a21f4e49-6e36-4621-9f76-361ef2e24c6a,USD,2022-01-30T08:51:32.000Z,1,3,3,Minecraft,,,100,1,Earning-Sell,3,3,2022-01-30T08:51:32.000Z,2022-01-30T08:51:32.000Z,1,2022-01-30T08:51:32.000Z,,6800065331,Sent,Payment successfully sent to your bank,,,,TNT EXPANSION PACK,584D3E7A-0B33-43ED-BB54-BD0EA5DC0DE2,584D3E7A-0B33-43ED-BB54-BD0EA5DC0DE2,TNT EXPANSION PACK,Add-on,,,,,,,,,,,,,Purchase,Microsoft,US,0,,0,,,,,,,,TransactionId,,,,,,beb222aa-cf6d-4599-b6ec-8fbc1eaa3d6c,27.12435,SEK,,,,,,,,,,0,,Not applicable,,,
9519c1a1-8666-40b1-94d6-f0d47aa1abf3,69394160,SELLER,SNDBX,SE,Minecraft,9519c1a1-8666-40b1-94d6-f0d47aa1abf3,USD,2022-01-02T05:26:58.000Z,1,3,3,Minecraft,,,100,1,Earning-Sell,3,3,2022-01-02T05:26:58.000Z,2022-01-02T05:26:58.000Z,1,2022-01-02T05:26:58.000Z,,6800065331,Sent,Payment successfully sent to your bank,,,,TNT EXPANSION PACK,584D3E7A-0B33-43ED-BB54-BD0EA5DC0DE2,584D3E7A-0B33-43ED-BB54-BD0EA5DC0DE2,TNT EXPANSION PACK,Add-on,,,,,,,,,,,,,Purchase,Microsoft,US,0,,0,,,,,,,,TransactionId,,,,,,beb222aa-cf6d-4599-b6ec-8fbc1eaa3d6c,27.12435,SEK,,,,,,,,,,0,,Not applicable,,,
27d5f301-e90a-4c3d-9b6c-188c5384c01e,69394160,SELLER,SNDBX,SE,Minecraft,27d5f301-e90a-4c3d-9b6c-188c5384c01e,USD,2022-01-29T06:38:44.000Z,1,2.25,2.25,Minecraft,,,100,1,Earning-Sell,2.25,2.25,2022-01-29T06:38:44.000Z,2022-01-29T06:38:44.000Z,1,2022-01-29T06:38:44.000Z,,6800065331,Sent,Payment successfully sent to your bank,,,,Weapons 2.0,397E4631-3CB6-4D6A-A487-C6C387C7B9A6,397E4631-3CB6-4D6A-A487-C6C387C7B9A6,Weapons 2.0,Add-on,,,,,,,,,,,,,Purchase,Microsoft,US,0,,0,,,,,,,,TransactionId,,,,,,beb222aa-cf6d-4599-b6ec-8fbc1eaa3d6c,20.3432625,SEK,,,,,,,,,,0,,Not applicable,,,
